OBJECTID,STATE,NAME,LAT,LON,Date01Start,Date50Start,Date100Start,Dat50End,Date01End,Duration,x,y
166,AR,Corinth,35.069508,-93.420089,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:53,4/8/24 18:25,240,-93.420089,35.069508
167,AR,Corning,36.413682,-90.583609,4/9/24 0:13,4/8/24 17:24,4/8/24 17:55,4/8/24 17:59,4/8/24 18:31,210,-90.583609,36.413682
168,AR,Cotter,36.281898,-92.520821,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,180,-92.520821,36.281898
169,AR,Cove,34.438983,-94.422321,4/9/24 0:13,4/8/24 17:15,4/8/24 17:46,4/8/24 17:51,4/8/24 18:23,240,-94.422321,34.438983
170,AR,Crystal Springs,34.524828,-93.333623,4/9/24 0:13,4/8/24 17:17,4/8/24 17:48,4/8/24 17:52,4/8/24 18:24,240,-93.333623,34.524828
171,AR,Cushman,35.865844,-91.778081,4/9/24 0:13,4/8/24 17:21,4/8/24 17:53,4/8/24 17:57,4/8/24 18:28,240,-91.778081,35.865844
172,AR,Daisy,34.235924,-93.739193,4/9/24 0:13,4/8/24 17:15,4/8/24 17:47,4/8/24 17:51,4/8/24 18:23,240,-93.739193,34.235924
173,AR,Damascus,35.367092,-92.410712,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:55,4/8/24 18:27,240,-92.410712,35.367092
174,AR,Danville,35.052457,-93.391199,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:53,4/8/24 18:25,240,-93.391199,35.052457
175,AR,Dardanelle,35.226305,-93.165909,4/9/24 0:13,4/8/24 17:18,4/8/24 17:49,4/8/24 17:54,4/8/24 18:25,240,-93.165909,35.226305
176,AR,Datto,36.392471,-90.728499,4/9/24 0:13,4/8/24 17:23,4/8/24 17:55,4/8/24 17:59,4/8/24 18:31,240,-90.728499,36.392471
177,AR,Deer,35.828023,-93.219622,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:54,4/8/24 18:26,150,-93.219622,35.828023
178,AR,Delaplaine,36.230393,-90.725646,4/9/24 0:13,4/8/24 17:23,4/8/24 17:55,4/8/24 17:59,4/8/24 18:30,210,-90.725646,36.230393
179,AR,Delight,34.02953,-93.506555,4/9/24 0:13,4/8/24 17:16,4/8/24 17:48,4/8/24 17:51,4/8/24 18:24,180,-93.506555,34.02953
180,AR,Dennard,35.747919,-92.549999,4/9/24 0:13,4/8/24 17:20,4/8/24 17:51,4/8/24 17:55,4/8/24 18:27,240,-92.549999,35.747919
181,AR,Denning,35.425153,-93.756758,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:52,4/8/24 18:25,180,-93.756758,35.425153
